datetime,pid1.pv,pid1.mv,pid1.sv,pid1.kp,pid1.Ti,pid1.Td[bool]
2025-03-12 20:28:05,0,31.5,0.25,120,2,0
2025-03-12 20:28:10,0.0,33.0,0.25,120,2,0
2025-03-12 20:28:15,0.020053522829578813,31.973256123473067,0.25,120,2,0
2025-03-12 20:28:20,0.039065357386018,30.95744383238426,0.25,120,2,0
2025-03-12 20:28:25,0.05663343033520109,30.009474496471082,0.25,120,2,0
2025-03-12 20:28:30,0.0729862148228797,29.10922306901237,0.25,120,2,0
2025-03-12 20:28:35,0.08828176003728583,28.24406708305992,0.25,120,2,0
2025-03-12 20:28:40,0.10262402817184632,27.407250737881583,0.25,120,2,0
2025-03-12 20:28:45,0.11608802944428374,26.59504240852339,0.25,120,2,0
2025-03-12 20:28:50,0.12873213391674682,25.80535706832734,0.25,120,2,0
2025-03-12 20:28:55,0.1406043149769683,25.037069451238953,0.25,120,2,0
2025-03-12 20:29:00,0.1517456416036538,24.289636406414772,0.25,120,2,0
2025-03-12 20:29:05,0.1621923909127404,23.562872143847937,0.25,120,2,0
2025-03-12 20:29:10,0.17197739904252585,22.856806774018526,0.25,120,2,0
2025-03-12 20:29:15,0.18113095941125965,22.171593773302913,0.25,120,2,0
2025-03-12 20:29:20,0.1896814366451032,21.507447885371064,0.25,120,2,0
2025-03-12 20:29:25,0.19765569415387746,20.86460281939489,0.25,120,2,0
2025-03-12 20:29:30,0.20507939548680554,20.24328228652269,0.25,120,2,0
2025-03-12 20:29:35,0.2119772179842859,19.64368027891933,0.25,120,2,0
2025-03-12 20:29:40,0.21837300427938697,19.06594789783088,0.25,120,2,0
2025-03-12 20:29:45,0.22428986910732773,18.51018490383402,0.25,120,2,0
2025-03-12 20:29:50,0.2297502736477682,17.976434717094556,0.25,120,2,0
2025-03-12 20:29:55,0.23477607613944046,17.46468196125724,0.25,120,2,0
2025-03-12 20:30:00,0.23938856512477727,16.97485189226816,0.25,120,2,0
2025-03-12 20:30:05,0.24360848001706106,16.506811225091738,0.25,120,2,0
2025-03-12 20:30:10,0.24745602249499096,16.060369992770205,0.25,120,2,0
2025-03-12 20:30:15,0.25095086136732714,15.635284159885902,0.25,120,2,0
2025-03-12 20:30:20,0.2541121329142972,15.231258776763712,0.25,120,2,0
2025-03-12 20:30:25,0.2569584382367163,14.847951508653118,0.25,120,2,0
2025-03-12 20:30:30,0.2595078387834344,14.48497641034634,0.25,120,2,0
2025-03-12 20:30:35,0.26177785095175027,14.141907844437936,0.25,120,2,0
2025-03-12 20:30:40,0.26378544044202096,13.81828446295333,0.25,120,2,0
2025-03-12 20:30:45,0.2655470168812653,13.513613188956414,0.25,120,2,0
2025-03-12 20:30:50,0.2670784290998467,13.227373148127569,0.25,120,2,0
2025-03-12 20:30:55,0.2683949613420576,12.959019511009915,0.25,120,2,0
2025-03-12 20:31:00,0.269511330609481,12.707987215262216,0.25,120,2,0
2025-03-12 20:31:05,0.27044168527076706,12.47369454428329,0.25,120,2,0
2025-03-12 20:31:10,0.27119960501944573,12.255546544325174,0.25,120,2,0
2025-03-12 20:31:15,0.2717981022199174,12.05293826694907,0.25,120,2,0
2025-03-12 20:31:20,0.27224962464875363,11.865257827596201,0.25,120,2,0
2025-03-12 20:31:25,0.2725660596122819,11.691889274299115,0.25,120,2,0
2025-03-12 20:31:30,0.2727587394008433,11.532215263266693,0.25,120,2,0
2025-03-12 20:31:35,0.27283844802409357,11.385619540332094,0.25,120,2,0
2025-03-12 20:31:40,0.27281542915945023,11.251489229132595,0.25,120,2,0
2025-03-12 20:31:45,0.27269939523661785,11.129216928452774,0.25,120,2,0
2025-03-12 20:31:50,0.27249953757452106,11.018202622457263,0.25,120,2,0
2025-03-12 20:31:55,0.2722245374824985,10.917855408604984,0.25,120,2,0
2025-03-12 20:32:00,0.2718825782349067,10.827595048906556,0.25,120,2,0
2025-03-12 20:32:05,0.271481357827048,10.74685335088731,0.25,120,2,0
2025-03-12 20:32:10,0.2710281024203221,10.675075385172486,0.25,120,2,0
2025-03-12 20:32:15,0.2705295803854984,10.611720547038338,0.25,120,2,0
2025-03-12 20:32:20,0.26999211685483643,10.556263469588758,0.25,120,2,0
2025-03-12 20:32:25,0.2694216086962913,10.508194796436428,0.25,120,2,0
2025-03-12 20:32:30,0.26882353982610735,10.467021821901856,0.25,120,2,0
2025-03-12 20:32:35,0.26820299677960635,10.432269006804336,0.25,120,2,0
2025-03-12 20:32:40,0.2675646844638293,10.403478377914606,0.25,120,2,0
2025-03-12 20:32:45,0.26691294201980365,10.380209819078864,0.25,120,2,0
2025-03-12 20:32:50,0.2662517587265144,10.362041261914488,0.25,120,2,0
2025-03-12 20:32:55,0.2655847898830914,10.348568783826696,0.25,120,2,0
2025-03-12 20:33:00,0.26491537261023407,10.339406620908175,0.25,120,2,0
2025-03-12 20:33:05,0.2642465415164331,10.334187103065691,0.25,120,2,0
2025-03-12 20:33:10,0.26358104417907224,10.332560518474562,0.25,120,2,0
2025-03-12 20:33:15,0.26292135639496866,10.334194914197179,0.25,120,2,0
2025-03-12 20:33:20,0.26226969715930876,10.338775839520515,0.25,120,2,0
2025-03-12 20:33:25,0.2616280433362273,10.346006038272925,0.25,120,2,0
2025-03-12 20:33:30,0.2609981439884439,10.355605096076271,0.25,120,2,0
2025-03-12 20:33:35,0.2603815343373903,10.367309048178361,0.25,120,2,0
